date,metric,player_count,players_json
2025-07-29,Most active player,1,"[{""name"": ""McReady"", ""games"": ""83""}]"
2025-07-29,Best W-L streak,1,"[{""name"": ""McReady"", ""wins"": ""50"", ""losses"": ""33""}]"
2025-07-29,Worst W-L streak,1,"[{""name"": ""Astore"", ""wins"": ""7"", ""losses"": ""27""}]"
2025-07-29,Prolonged win streaks,1,"[{""name"": ""tonylaw44"", ""wins"": ""11""}]"
2025-07-29,Biggest Elo rise,1,"[{""name"": ""tonylaw44"", ""elo"": ""+48.3""}]"
2025-07-29,Biggest Elo drop,1,"[{""name"": ""Cat-hunter"", ""elo"": ""-63.7""}]"
2025-07-29,All-time-high Elo hits,3,"[{""name"": ""Jovo"", ""elo"": ""372.1""}, {""name"": ""Coyote"", ""elo"": ""369.6""}, {""name"": ""BRUHEGUS911"", ""elo"": ""263.5""}]"
2025-07-29,New players,1,"[{""name"": ""Silverwing92""}]"
2025-07-29,Comebacks,1,"[{""name"": ""Everton1975""}]"
2025-07-30,Most active player,1,"[{""name"": ""JIREN"", ""games"": ""39""}]"
2025-07-30,Best W-L streak,1,"[{""name"": ""Skyfall"", ""wins"": ""13"", ""losses"": ""2""}]"
2025-07-30,Worst W-L streak,1,"[{""name"": ""Fairweigh"", ""wins"": ""0"", ""losses"": ""8""}]"
2025-07-30,Prolonged win streaks,1,"[{""name"": ""Samuel"", ""wins"": ""10""}]"
2025-07-30,Biggest Elo rise,1,"[{""name"": ""Venom"", ""elo"": ""+108.5""}]"
2025-07-30,Biggest Elo drop,1,"[{""name"": ""McReady"", ""elo"": ""-87.9""}]"
2025-07-30,All-time-high Elo hits,1,"[{""name"": ""Rexxxer"", ""elo"": ""364.0""}]"
2025-07-30,New players,1,"[{""name"": ""Tomorrow""}]"
2025-07-30,Comebacks,2,"[{""name"": ""Rylau878""}, {""name"": ""BigBack""}]"
